#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Re]"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Im]"
#------------------------------------------------------------------------------------------------------------------------------------------
15.548911603073	-38.706478118896	105.80638885498
15.583160307045	-39.449813842773	105.47436523438
15.617409011016	-40.193153381348	105.14234161377
15.651657714988	-40.891311645508	104.79415130615
15.685906418959	-41.570079803467	104.43904876709
15.720155122931	-42.233272552490	104.07920074463
15.754403826902	-42.843044281006	103.70307922363
15.788652530874	-43.452796936035	103.32697296143
15.822901234845	-44.008186340332	102.93697357178
15.857149938817	-44.545608520508	102.54235839844
15.891398642788	-45.062480926514	102.14356994629
15.925647346760	-45.525817871094	101.73384094238
15.959896050731	-45.989143371582	101.32412719727
15.994144754703	-46.392627716064	100.90496826172
16.028393458675	-46.781425476074	100.48348999023
16.062642162646	-47.145999908447	100.05935668945
16.096890866618	-47.461051940918	99.629890441895
16.131139570589	-47.776107788086	99.200424194336
16.165388274561	-48.030044555664	98.767906188965
16.199636978532	-48.273567199707	98.334861755371
16.233885682504	-48.491268157959	97.902076721191
16.268134386475	-48.666877746582	97.469680786133
16.302383090447	-48.842475891113	97.037307739258
16.336631794418	-48.960807800293	96.609535217285
16.370880498390	-49.073196411133	96.182235717773
16.405129202361	-49.160747528076	95.759170532227
16.439377906333	-49.215599060059	95.341644287109
16.473626610304	-49.270446777344	94.924133300781
16.507875314276	-49.276779174805	94.520057678223
16.542124018247	-49.280952453613	94.116577148438
16.576372722219	-49.264373779297	93.721847534180
16.610621426190	-49.225589752197	93.336471557617
16.644870130162	-49.186496734619	92.951278686523
16.679118834134	-49.113155364990	92.588150024414
16.713367538105	-49.039813995361	92.225021362305
16.747616242077	-48.952980041504	91.875572204590
16.781864946048	-48.854400634766	91.538024902344
16.816113650020	-48.754573822021	91.202690124512
16.850362353991	-48.640205383301	90.893501281738
16.884611057963	-48.525836944580	90.584320068359
16.918859761934	-48.407661437988	90.294258117676
16.953108465906	-48.287185668945	90.015785217285
16.987357169877	-48.167343139648	89.742675781250
17.021605873849	-48.050712585449	89.496482849121
17.055854577820	-47.934078216553	89.250289916992
17.090103281792	-47.826961517334	89.027786254883
17.124351985763	-47.723709106445	88.814918518066
17.158600689735	-47.626365661621	88.610580444336
17.192849393706	-47.546264648438	88.431167602539
17.227098097678	-47.466171264648	88.251762390137
17.261346801649	-47.412120819092	88.098724365234
17.295595505621	-47.364620208740	87.952316284180
17.329844209593	-47.331287384033	87.816658020020
17.364092913564	-47.325065612793	87.701591491699
17.398341617536	-47.318847656250	87.586524963379
17.432590321507	-47.356521606445	87.497047424316
17.466839025479	-47.399772644043	87.410820007324
17.501087729450	-47.467529296875	87.335731506348
17.535336433422	-47.567592620850	87.275321960449
17.569585137393	-47.667663574219	87.214904785156
17.603833841365	-47.829608917236	87.175888061523
17.638082545336	-47.993110656738	87.137405395508
17.672331249308	-48.192447662354	87.107894897461
17.706579953279	-48.424930572510	87.086685180664
17.740828657251	-48.662094116211	87.066238403320
17.775077361222	-48.968002319336	87.057052612305
17.809326065194	-49.273906707764	87.047874450684
17.843574769165	-49.626499176025	87.042518615723
17.877823473137	-50.009239196777	87.039634704590
17.912072177108	-50.403961181641	87.036743164062
17.946320881080	-50.865741729736	87.033813476562
17.980569585052	-51.327495574951	87.030883789062
18.014818289023	-51.844776153564	87.023475646973
18.049066992995	-52.386341094971	87.014106750488
18.083315696966	-52.946971893311	87.001617431641
18.117564400938	-53.568077087402	86.979225158691
18.151813104909	-54.189147949219	86.956832885742
18.186061808881	-54.871387481689	86.918945312500
18.220310512852	-55.570484161377	86.876785278320
18.254559216824	-56.294219970703	86.826019287109
18.288807920795	-57.068496704102	86.757583618164
18.323056624767	-57.842727661133	86.689155578613
18.357305328738	-58.679130554199	86.592323303223
18.391554032710	-59.524654388428	86.491325378418
18.425802736681	-60.397789001465	86.374397277832
18.460051440653	-61.309658050537	86.235107421875
18.494300144624	-62.221576690674	86.095809936523
18.528548848596	-63.191131591797	85.914863586426
18.562797552567	-64.163078308105	85.732200622559
18.597046256539	-65.162216186523	85.524917602539
18.631294960511	-66.188079833984	85.293441772461
18.665543664482	-67.214004516602	85.061958312988
18.699792368454	-68.285346984863	84.778556823730
18.734041072425	-69.357933044434	84.493736267090
18.768289776397	-70.447143554688	84.183982849121
18.802538480368	-71.557304382324	83.842819213867
18.836787184340	-72.667457580566	83.501663208008
18.871035888311	-73.803344726562	83.107467651367
18.905284592283	-74.941658020020	82.708145141602
18.939533296254	-76.086868286133	82.286445617676
18.973782000226	-77.243301391602	81.828346252441
19.008030704197	-78.399742126465	81.370246887207
19.042279408169	-79.562942504883	80.862449645996
19.076528112140	-80.727256774902	80.345901489258
19.110776816112	-81.890846252441	79.811149597168
19.145025520083	-83.052871704102	79.237533569336
19.179274224055	-84.214904785156	78.663917541504
19.213522928026	-85.367233276367	78.047431945801
19.247771631998	-86.516868591309	77.419456481934
19.282020335970	-87.660766601562	76.778427124023
19.316269039941	-88.788101196289	76.099731445312
19.350517743913	-89.915428161621	75.421028137207
19.384766447884	-91.019607543945	74.708457946777
19.419015151856	-92.115127563477	73.983085632324
19.453263855827	-93.202575683594	73.249633789062
19.487512559799	-94.257095336914	72.482780456543
19.521761263770	-95.311614990234	71.715934753418
19.556009967742	-96.333427429199	70.925346374512
19.590258671713	-97.338783264160	70.122741699219
19.624507375685	-98.336509704590	69.316162109375
19.658756079656	-99.285217285156	68.483566284180
19.693004783628	-100.23392486572	67.650970458984
19.727253487599	-101.14457702637	66.803955078125
19.761502191571	-102.03015899658	65.947456359863
19.795750895542	-102.91082000732	65.089630126953
19.829999599514	-103.72743225098	64.215484619141
19.864248303485	-104.54403686523	63.341331481934
19.898497007457	-105.32077789307	62.460632324219
19.932745711429	-106.06371307373	61.574378967285
19.966994415400	-106.80590057373	60.688007354736
20.001243119372	-107.47174072266	59.794773101807
20.035491823343	-108.13757324219	58.901542663574
20.069740527315	-108.76525878906	58.007217407227
20.103989231286	-109.35150146484	57.111705780029
20.138237935258	-109.93773651123	56.216190338135
20.172486639229	-110.44710540771	55.322246551514
20.206735343201	-110.95225524902	54.428440093994
20.240984047172	-111.42391967773	53.536487579346
20.275232751144	-111.84887695312	52.647109985352
20.309481455115	-112.27382659912	51.757736206055
20.343730159087	-112.62253570557	50.874153137207
20.377978863058	-112.96883392334	49.990798950195
20.412227567030	-113.27479553223	49.111038208008
20.446476271001	-113.54376220703	48.234577178955
20.480724974973	-113.80719757080	47.358600616455
20.514973678945	-114.00102233887	46.488716125488
20.549222382916	-114.19483947754	45.618877410889
20.583471086888	-114.34320068359	44.752464294434
20.617719790859	-114.46435546875	43.888103485107
20.651968494831	-114.57319641113	43.024330139160
20.686217198802	-114.62502288818	42.163291931152
20.720465902774	-114.67685699463	41.302204132080
20.754714606745	-114.68067932129	40.441375732422
20.788963310717	-114.66670989990	39.580631256104
20.823212014688	-114.63528442383	38.718952178955
20.857460718660	-114.55928039551	37.854896545410
20.891709422631	-114.48326873779	36.990795135498
20.925958126603	-114.35913085938	36.120491027832
20.960206830574	-114.22537231445	35.248939514160
20.994455534546	-114.07107543945	34.372756958008
21.028704238517	-113.88404083252	33.489181518555
21.062952942489	-113.69699859619	32.605606079102
21.097201646460	-113.46408843994	31.706117630005
21.131450350432	-113.22813415527	30.805622100830
21.165699054404	-112.97026062012	29.894523620605
21.199947758375	-112.68954467773	28.972370147705
21.234196462347	-112.40713500977	28.049131393433
21.268445166318	-112.08567047119	27.100814819336
21.302693870290	-111.76422882080	26.152547836304
21.336942574261	-111.42094421387	25.186376571655
21.371191278233	-111.06271362305	24.207939147949
21.405439982204	-110.69964599609	23.224617004395
21.439688686176	-110.30815124512	22.212533950806
21.473937390147	-109.91667938232	21.200506210327
21.508186094119	-109.50422668457	20.163188934326
21.542434798090	-109.08266448975	19.114904403687
21.576683502062	-108.65425872803	18.057167053223
21.610932206033	-108.20526123047	16.970985412598
21.645180910005	-107.75624084473	15.884742736816
21.679429613976	-107.28692626953	14.767484664917
21.713678317948	-106.81258392334	13.642527580261
21.747927021919	-106.33065795898	12.505211830139
21.782175725891	-105.83290863037	11.342065811157
21.816424429863	-105.33513641357	10.178855895996
21.850673133834	-104.81869506836	8.9850788116455
21.884921837806	-104.29884338379	7.7857170104980
21.919170541777	-103.77116394043	6.5742588043213
21.953419245749	-103.23003387451	5.3420228958130
21.987667949720	-102.68889617920	4.1097869873047
22.021916653692	-102.12952423096	2.8524184226990
22.056165357663	-101.56792449951	1.5920269489288
22.090414061635	-100.99795532227	0.32235175371170
22.124662765606	-100.41604614258	-0.96055662631989
22.158911469578	-99.834144592285	-2.2434649467468
22.193160173549	-99.233100891113	-3.5408053398132
22.227408877521	-98.630744934082	-4.8390808105469
22.261657581492	-98.018966674805	-6.1406593322754
22.295906285464	-97.395965576172	-7.4461698532104
22.330154989435	-96.772964477539	-8.7516794204712
22.364403693407	-96.129234313965	-10.055921554565
22.398652397378	-95.485015869141	-11.360209465027
22.432901101350	-94.830017089844	-12.658898353577
22.467149805322	-94.164237976074	-13.952082633972
22.501398509293	-93.497947692871	-15.244786262512
22.535647213265	-92.810012817383	-16.517114639282
22.569895917236	-92.122047424316	-17.789512634277
22.604144621208	-91.421760559082	-19.045103073120
22.638393325179	-90.711174011230	-20.286741256714
22.672642029151	-89.999053955078	-21.525627136230
22.706890733122	-89.265678405762	-22.726526260376
22.741139437094	-88.532264709473	-23.927492141724
22.775388141065	-87.785446166992	-25.098714828491
22.809636845037	-87.029281616211	-26.249286651611
22.843885549008	-86.270591735840	-27.393201828003
22.878134252980	-85.491844177246	-28.484258651733
22.912382956951	-84.713096618652	-29.575315475464
22.946631660923	-83.920631408691	-30.624111175537
22.980880364894	-83.119918823242	-31.647178649902
23.015129068866	-82.316444396973	-32.660198211670
23.049377772837	-81.494995117188	-33.607776641846
23.083626476809	-80.673545837402	-34.555358886719
23.117875180781	-79.839698791504	-35.450473785400
23.152123884752	-78.999069213867	-36.316474914551
23.186372588724	-78.155776977539	-37.169120788574
23.220621292695	-77.297950744629	-37.948596954346
23.254869996667	-76.440116882324	-38.728073120117
23.289118700638	-75.572578430176	-39.447662353516
23.323367404610	-74.700096130371	-40.137111663818
23.357616108581	-73.825592041016	-40.810356140137
23.391864812553	-72.941383361816	-41.407718658447
23.426113516524	-72.057174682617	-42.005077362061
23.460362220496	-71.167213439941	-42.538745880127
23.494610924467	-70.274566650391	-43.043315887451
23.528859628439	-69.381072998047	-43.529808044434
23.563108332410	-68.483894348145	-43.942649841309
23.597357036382	-67.586715698242	-44.355487823486
23.631605740353	-66.689155578613	-44.705200195312
23.665854444325	-65.791442871094	-45.028804779053
23.700103148296	-64.894523620605	-45.333747863770
23.734351852268	-64.000694274902	-45.571716308594
23.768600556240	-63.106868743896	-45.809684753418
23.802849260211	-62.219249725342	-45.989135742188
23.837097964183	-61.333942413330	-46.146800994873
23.871346668154	-60.451972961426	-46.285560607910
23.905595372126	-59.579868316650	-46.369522094727
23.939844076097	-58.707767486572	-46.453483581543
23.974092780069	-57.849819183350	-46.485206604004
24.008341484040	-56.995754241943	-46.502590179443
24.042590188012	-56.148799896240	-46.501636505127
24.076838891983	-55.317630767822	-46.460350036621
24.111087595955	-54.486465454102	-46.419059753418
24.145336299926	-53.678630828857	-46.335712432861
24.179585003898	-52.875228881836	-46.244380950928
24.213833707869	-52.083839416504	-46.138031005859
24.248082411841	-51.313007354736	-46.005928039551
24.282331115812	-50.542221069336	-45.873832702637
24.316579819784	-49.804843902588	-45.713905334473
24.350828523755	-49.071327209473	-45.550762176514
24.385077227727	-48.355545043945	-45.378517150879
24.419325931699	-47.663776397705	-45.193912506104
24.453574635670	-46.972045898438	-45.009323120117
24.487823339642	-46.323513031006	-44.813697814941
24.522072043613	-45.677146911621	-44.617519378662
24.556320747585	-45.058032989502	-44.420234680176
24.590569451556	-44.460197448730	-44.222087860107
24.624818155528	-43.871227264404	-44.025108337402
24.659066859499	-43.325431823730	-43.833850860596
24.693315563471	-42.779636383057	-43.642593383789
24.727564267442	-42.277050018311	-43.463481903076
24.761812971414	-41.786628723145	-43.287788391113
24.796061675385	-41.318843841553	-43.121376037598
24.830310379357	-40.886577606201	-42.969528198242
24.864559083328	-40.454315185547	-42.817680358887
24.898807787300	-40.077331542969	-42.694240570068
24.933056491271	-39.700405120850	-42.570827484131
24.967305195243	-39.524673461914	-42.516365051270
25.001553899214	-39.349052429199	-42.461940765381
